Geneid	Col_100	Col_131	Col_182	Col_184	Col_186	Col_195	Col_326	Col_87	Col_9
ENSMUSG00000065625	0	0	0	0	0	0	0	0	0
ENSMUSG00000103411	2	0	2	0	0	0	2	0	0
ENSMUSG00000061024	1416	924	772	970	972	622	803	766	1062
ENSMUSG00000102030	26	4	13	0	12	6	0	5	0
ENSMUSG00000099870	0	0	0	0	0	0	0	0	0
ENSMUSG00000026374	3199	2752	2138	2477	2293	2011	2317	2329	2585
ENSMUSG00000026377	1230	1059	943	1269	1079	937	990	1100	1278
ENSMUSG00000099936	0	0	0	0	0	0	0	0	0
ENSMUSG00000025911	24	53	46	26	61	31	60	32	42
ENSMUSG00000081441	2	8	2	4	0	4	0	4	4
ENSMUSG00000067879	0	4	1	2	4	0	9	0	2
ENSMUSG00000099827	0	0	0	0	0	0	0	0	0
ENSMUSG00000057335	110	162	201	230	96	185	351	127	345
ENSMUSG00000103634	0	0	0	0	0	2	0	0	0
ENSMUSG00000104154	2	0	0	0	2	0	2	0	0
ENSMUSG00000103435	0	0	0	0	0	0	0	1	0
ENSMUSG00000065573	0	0	0	0	0	0	0	0	0
ENSMUSG00002076271	0	0	0	0	0	0	0	0	0
ENSMUSG00000100551	12	0	8	10	9	4	10	6	4
ENSMUSG00000100357	0	0	0	0	0	0	0	0	0
ENSMUSG00000025912	70	215	105	187	97	40	78	58	236
ENSMUSG00000045210	1655	1758	1593	1880	1526	1379	1902	1409	2023
ENSMUSG00000041763	2330	2802	2382	2561	2218	1784	2469	2142	2108
ENSMUSG00000026504	195	176	162	233	143	189	179	205	204
ENSMUSG00000103367	0	0	0	0	0	0	0	0	0
ENSMUSG00000103584	0	1	0	0	0	0	0	0	0
ENSMUSG00002076339	0	0	0	0	0	0	0	0	0
ENSMUSG00000102475	0	0	2	0	0	0	0	0	0
ENSMUSG00000047343	8	12	7	12	12	6	18	3	8
ENSMUSG00000102211	0	14	0	10	1	2	2	3	2
ENSMUSG00000087082	0	0	0	0	0	0	0	0	0
ENSMUSG00000090106	2	1	0	0	0	0	0	0	0
ENSMUSG00000103251	0	0	0	8	0	2	8	0	0
ENSMUSG00000091844	0	10	0	6	3	0	2	0	8
ENSMUSG00000026483	6157	8086	6853	8445	6228	7714	7931	4314	5869
ENSMUSG00000082528	0	0	0	0	0	0	0	0	0
ENSMUSG00000082012	0	0	0	0	0	0	0	0	0
ENSMUSG00000099996	0	0	0	0	0	0	0	0	0
ENSMUSG00000101763	0	0	0	0	0	0	0	0	0
ENSMUSG00000100827	0	0	0	0	0	0	0	0	0
ENSMUSG00000100553	0	0	0	0	0	0	0	0	0
ENSMUSG00000098611	0	0	0	0	0	0	0	0	0
ENSMUSG00000100534	0	0	0	0	4	0	0	0	0
ENSMUSG00000102904	0	0	0	0	0	0	0	0	2
ENSMUSG00002076350	0	0	0	0	0	0	0	0	0
ENSMUSG00000019699	943	359	565	511	406	501	645	1094	543
ENSMUSG00000104391	0	2	0	2	0	6	6	0	2
ENSMUSG00000102133	1	0	2	2	0	2	0	0	1
ENSMUSG00000102749	0	0	0	0	0	0	0	0	1
ENSMUSG00000103163	0	0	0	0	0	2	0	0	0
ENSMUSG00000103646	0	2	0	0	2	6	8	2	2
ENSMUSG00000102427	0	0	0	0	2	0	0	0	0
ENSMUSG00000103633	0	0	0	0	0	0	0	0	0
ENSMUSG00000097892	38	26	14	13	16	76	15	46	16
ENSMUSG00000063659	2823	2583	2040	2580	2116	2736	2581	2371	2550
ENSMUSG00000102432	12	28	6	2	17	28	0	2	12
ENSMUSG00000103043	12	15	6	2	10	3	10	10	4
ENSMUSG00000102885	0	0	0	0	0	2	0	0	0
ENSMUSG00000026049	252	178	151	237	207	164	164	136	287
ENSMUSG00000103767	1	0	0	0	0	0	0	1	4
ENSMUSG00000043019	2802	3709	3069	3033	2907	1962	3131	2604	3310
ENSMUSG00000101104	0	0	0	0	0	0	0	0	0
ENSMUSG00000015962	14	0	0	0	0	0	0	14	4
ENSMUSG00000032666	2118	1989	1721	1802	1594	1257	1508	1587	1132
ENSMUSG00000084557	0	0	0	0	0	0	0	0	0
ENSMUSG00000100685	0	0	0	0	0	0	0	0	0
ENSMUSG00000102090	0	0	0	0	0	0	0	0	0
ENSMUSG00000103744	0	0	0	0	0	0	0	0	0
ENSMUSG00000015961	3756	2919	2402	2703	2325	2195	2621	3348	2526
ENSMUSG00000089657	0	2	4	8	8	1	2	0	0
ENSMUSG00000102483	37	54	126	68	34	104	100	40	29
ENSMUSG00000014980	288	260	259	479	223	304	324	223	307
ENSMUSG00000026235	696	532	562	590	531	439	598	473	491
