Geneid	Cb_1	Cb_3_1	Cb_4_1	Cb_5_1	Cb_6	Control_4	Control_5_1	Control_6_1	Control_7_1	Control_8_1	Ox_1_1	Ox_3_1	Ox_4	Ox_7	Ox_8
ENSMUSG00000104363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104157	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ENSMUSG00000102446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033007	26	2	1	2	8	5	3	17	7	11	4	8	33	18	3
ENSMUSG00000102605	0	0	0	0	0	4	0	0	0	0	0	2	7	0	2
ENSMUSG00000070695	10	8	4	4	4	16	36	16	20	38	16	24	26	6	4
ENSMUSG00000025909	4	3	4	8	0	4	10	10	8	0	6	21	8	18	14
ENSMUSG00002076179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002074990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084353	61	23	7	8	12	0	8	9	0	8	4	7	0	12	8
ENSMUSG00000103933	19	7	0	4	3	0	14	2	0	2	2	0	7	4	14
ENSMUSG00002075967	13	4	0	6	3	3	0	1	4	2	2	2	12	11	4
ENSMUSG00000086195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104504	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000066693	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSMUSG00000102316	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000103819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101571	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000104428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103411	0	0	0	0	0	0	0	0	3	0	0	3	0	2	0
ENSMUSG00000061024	1704	1394	1122	1086	1740	640	776	718	708	646	1648	1447	1512	1551	2094
ENSMUSG00000102030	2	0	2	4	10	6	0	4	4	0	10	2	8	2	10
ENSMUSG00000099870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026374	3008	2475	2332	2153	2514	1974	2262	2131	2186	2008	1959	2556	1692	2683	2859
ENSMUSG00000026377	1488	1128	1093	952	1339	814	866	769	773	652	1241	1291	1302	1430	1700
ENSMUSG00000099936	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2
ENSMUSG00000025911	20	23	22	14	8	59	39	33	40	57	57	73	78	142	18
ENSMUSG00000081441	4	2	0	0	3	0	2	0	2	3	2	3	3	2	3
ENSMUSG00000067879	0	2	6	4	0	0	4	0	0	0	0	2	6	8	0
ENSMUSG00000099827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057335	166	190	211	145	141	243	372	391	399	377	389	447	145	273	250
ENSMUSG00000103634	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
ENSMUSG00000104154	6	0	0	0	2	0	0	0	0	0	0	0	0	0	2
ENSMUSG00000103435	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
ENSMUSG00000065573	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
ENSMUSG00002076271	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0
ENSMUSG00000100551	10	14	16	4	18	0	4	10	10	15	8	9	6	12	5
ENSMUSG00000100357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025912	136	88	110	98	84	54	121	122	106	97	148	102	60	64	103
ENSMUSG00000045210	1922	1809	1754	1981	1469	1488	1855	1768	1887	1749	1768	1653	1041	989	1167
ENSMUSG00000041763	3448	2934	2807	2860	2770	2038	2782	2554	2656	2404	3205	2359	2666	1446	1899
ENSMUSG00000026504	282	220	248	244	220	245	312	222	230	256	158	189	104	253	208
ENSMUSG00000103367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103584	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00002076339	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
ENSMUSG00000102475	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047343	2	4	6	2	6	2	5	4	14	8	6	12	2	2	6
ENSMUSG00000102211	6	4	0	0	0	2	6	5	6	9	0	10	11	21	9
ENSMUSG00000087082	0	0	0	2	0	0	0	1	0	0	0	2	8	0	0
ENSMUSG00000090106	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000103251	0	0	0	2	0	1	0	0	0	0	2	0	0	1	2
ENSMUSG00000091844	10	12	4	14	4	18	4	8	2	2	22	16	10	8	14
ENSMUSG00000026483	3331	2421	3137	2411	2664	5328	8076	6867	7584	6405	3708	3944	4875	3607	2871
ENSMUSG00000082528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082012	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000099996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000019699	1701	2488	2516	3322	1411	515	724	422	619	662	455	614	671	565	529
ENSMUSG00000104391	8	54	18	51	5	0	2	0	4	0	4	0	0	0	4
ENSMUSG00000102133	1	2	2	2	2	0	0	4	0	0	0	0	0	0	0
ENSMUSG00000102749	0	0	0	3	0	2	0	0	0	0	2	0	0	0	0
ENSMUSG00000103163	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103646	0	14	6	12	4	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000102427	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103633	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0
ENSMUSG00000097892	26	19	33	42	22	35	28	7	22	31	21	64	5	28	41
ENSMUSG00000063659	2297	2141	2358	2278	1893	1800	2801	2374	2449	2231	2632	2679	1166	1531	1790
ENSMUSG00000102432	0	3	0	6	4	0	4	0	0	4	0	10	0	2	0
ENSMUSG00000103043	3	2	0	0	4	4	8	5	2	4	4	6	0	4	0
ENSMUSG00000102885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026049	395	291	261	276	336	136	198	204	190	130	247	222	328	221	292
ENSMUSG00000103767	0	0	0	2	0	2	0	0	2	0	0	0	0	0	0
ENSMUSG00000043019	3789	3470	3625	3705	2874	2656	3437	3291	3019	2993	4562	3087	748	1249	1589
ENSMUSG00000101104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000015962	0	4	3	4	4	0	8	5	1	0	6	14	0	4	6
ENSMUSG00000032666	1285	1041	1186	1108	1302	1523	1835	1749	1522	1586	1092	1072	1041	761	1046
ENSMUSG00000084557	0	0	0	0	1	2	4	0	1	0	1	0	0	0	0
ENSMUSG00000100685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000015961	5266	4885	3739	4457	4440	2507	2677	2561	2443	2298	3609	3212	3865	3069	3783
ENSMUSG00000089657	0	5	0	0	0	1	0	0	0	2	0	2	3	0	5
ENSMUSG00000102483	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
ENSMUSG00000014980	355	259	205	181	333	294	279	259	320	310	187	376	163	504	417
ENSMUSG00000026235	1226	1993	1402	1306	1129	521	783	741	684	738	845	636	654	414	483
ENSMUSG00000099141	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000032649	20	2	20	2	14	51	52	40	51	86	6	48	18	24	10
